"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","1/68","99/4955",0.0101010101010101,0.736036838978015,-0.312919672274195,0.748884774547403,0.826377341899575,0.715455935995272,"Thbs1",1
"Human Diseases","Endocrine and metabolic disease","mmu04932","Non-alcoholic fatty liver disease","1/68","100/4955",0.01,0.728676470588235,-0.323298826801435,0.752401215101517,0.826377341899575,0.715455935995272,"Fos",1
"Metabolism","Global and overview maps","mmu01240","Biosynthesis of cofactors","1/68","101/4955",0.0099009900990099,0.72146185206756,-0.33358519855489,0.755869128051691,0.826377341899575,0.715455935995272,"Pank1",1
"Organismal Systems","Circulatory system","mmu04261","Adrenergic signaling in cardiomyocytes","1/68","101/4955",0.0099009900990099,0.72146185206756,-0.33358519855489,0.755869128051691,0.826377341899575,0.715455935995272,"Tpm4",1
"Human Diseases","Endocrine and metabolic disease","mmu04934","Cushing syndrome","1/68","101/4955",0.0099009900990099,0.72146185206756,-0.33358519855489,0.755869128051691,0.826377341899575,0.715455935995272,"Nr4a1",1
"Organismal Systems","Endocrine system","mmu04921","Oxytocin signaling pathway","1/68","103/4955",0.00970873786407767,0.707452884066248,-0.35388758346799,0.762662001628388,0.826377341899575,0.715455935995272,"Fos",1
NA,NA,"mmu04517","IgSF CAM signaling","2/68","198/4955",0.0101010101010101,0.736036838978015,-0.44711642885493,0.762809854061147,0.826377341899575,0.715455935995272,"Unc5a/Tubb2a",2
NA,NA,"mmu04081","Hormone signaling","1/68","117/4955",0.00854700854700855,0.622800402212167,-0.487015190817653,0.805268331710191,0.859160639257512,0.743838859276202,"Sstr3",1
"Environmental Information Processing","Signal transduction","mmu04310","Wnt signaling pathway","1/68","117/4955",0.00854700854700855,0.622800402212167,-0.487015190817653,0.805268331710191,0.859160639257512,0.743838859276202,"Cacybp",1
"Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis","2/68","218/4955",0.00917431192660551,0.668510523475445,-0.590415279585643,0.808322731609139,0.859160639257512,0.743838859276202,"Tubb2a/Hspa5",2
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion","1/68","129/4955",0.00775193798449612,0.564865481076151,-0.590657905821079,0.835720955082712,0.882730258806114,0.764244820766427,"Thbs1",1
"Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species","1/68","132/4955",0.00757575757575758,0.552027629233512,-0.615305577477853,0.842569211740265,0.884436004870216,0.765721611192526,"Fos",1
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer","1/68","135/4955",0.00740740740740741,0.539760348583878,-0.639497255792759,0.849136012123781,0.885827074376043,0.766925962866833,"Thbs1",1
"Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway","1/68","140/4955",0.00714285714285714,0.520483193277311,-0.678861209498407,0.859485982649143,0.891123503482854,0.771511472962421,"Ngf",1
"Environmental Information Processing","Signal transduction","mmu04024","cAMP signaling pathway","1/68","144/4955",0.00694444444444444,0.506025326797386,-0.709544336882931,0.867259436916122,0.893700273407468,0.773742373115154,"Fos",1
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome biogenesis","1/68","162/4955",0.00617283950617284,0.449800290486565,-0.839818500400545,0.897310751412887,0.91791493791213,0.794706797694089,"Atp6v0c",1
"Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway","1/68","165/4955",0.00606060606060606,0.441622103386809,-0.860426389360948,0.901620589901855,0.91791493791213,0.794706797694089,"Ngf",1
"Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","2/68","304/4955",0.00657894736842105,0.479392414860681,-1.10505883570674,0.927867960189877,0.938753148761258,0.812747976816038,"Tubb2a/Hspa5",2
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease","1/68","192/4955",0.00520833333333333,0.379518995098039,-1.03430852040826,0.933198396401724,0.938753148761258,0.812747976816038,"Tubb2a",1
"Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease","1/68","243/4955",0.00411522633744856,0.299866860324377,-1.32005619213892,0.968040734792817,0.968040734792817,0.838104404460926,"Tubb2a",1
