#OTU ID	WTN.2.F	WTN.3.F	dbS.3.F	WTN.1.F	dbN.3.F	WTS.3.F	dbS.1.F	dbN.2.F	dbN.1.F	WTS.2.F	WTS.1.F	dbS.2.F	dbN.1.O	dbN.2.O	dbS.1.B	dbN.1.B	dbS.3.B	WTS.1.B	dbN.3.B	WTS.1.L	WTN.1.L	WTN.2.O	WTS.1.O	WTS.2.O	WTN.3.O	WTN.1.O	dbS.3.O	WTN.2.L	WTS.2.B	dbS.2.L	dbS.1.L	WTN.3.B	dbN.1.L	WTS.3.L	WTN.2.B	dbS.1.O	WTN.1.B	dbN.2.L	dbS.3.L	WTS.3.B	dbN.3.O	dbN.3.L	WTN.3.L	WTS.2.L	dbN.2.B	dbS.2.B	dbS.2.O	Taxonomy
ASV57	0	0	0	0	0	0	0	0	0	0	0	9	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	13	49	50	0	0	36	0	0	0	0	36	0	0	0	56	2087	854	0	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium
ASV58	287	181	657	124	140	63	78	302	180	353	82	69	0	0	0	0	0	0	0	30	0	0	0	38	0	52	34	0	23	17	29	116	0	0	564	0	155	0	0	0	0	0	0	68	0	31	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV59	683	268	168	495	159	124	73	192	133	104	72	83	7	0	25	10	20	66	5	81	0	0	0	12	6	67	53	11	99	0	14	81	0	0	331	10	77	8	0	32	0	20	0	23	30	27	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV60	114	95	410	160	154	94	145	315	322	137	88	167	11	0	69	32	94	200	45	9	8	0	0	23	11	26	44	34	30	5	19	40	0	0	231	32	125	0	0	92	0	0	0	36	68	101	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV61	0	0	0	0	0	0	0	0	11	0	0	0	42	106	100	0	0	61	8	49	46	3	4	13	0	1	0	185	4	13	113	121	384	565	68	7	14	226	385	61	0	497	296	126	14	6	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella
ASV62	5	2	0	0	147	10	29	0	3	12	8	28	22	0	344	178	322	476	16	0	0	18	3	29	1	8	5	21	33	6	10	175	13	27	436	21	416	6	39	81	0	0	12	139	45	131	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Turicibacter; s__
ASV63	53	90	73	47	77	920	97	19	10	453	72	601	3	4	87	15	76	135	19	87	0	0	0	36	0	0	0	15	110	0	0	9	8	0	32	32	132	7	0	83	0	0	0	109	14	62	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV64	209	164	549	133	288	181	298	236	91	361	37	245	5	0	46	20	62	34	32	0	0	0	0	12	6	19	24	10	20	0	2	62	0	0	90	28	62	4	20	40	0	11	9	23	16	43	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV65	59	643	39	164	64	53	39	2	0	752	266	81	7	0	0	0	0	140	0	200	10	1	0	5	18	0	14	0	0	9	0	280	13	22	38	0	21	3	0	130	0	70	10	199	35	35	0	k__Bacteria; p__Deferribacterota; c__Deferribacteres; o__Deferribacterales; f__Deferribacteraceae; g__Mucispirillum; s__Mucispirillum_schaedleri
ASV66	0	0	0	0	0	0	0	0	0	0	0	0	24	0	7	0	0	0	0	11	0	0	0	0	0	0	0	442	0	0	288	27	409	377	0	0	0	269	340	0	0	885	399	28	35	38	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Ruminococcus_torques_group
