"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Escherichia-Shigella","DB_Control - DB_Treated","DB_Control","Dunn",0.0752,"r (|Z|/sqrt(N))",-0.2255,0.82159514153281,0.82159514153281,"ns"
"Herbaspirillum","DB_Treated - WT_Control","DB_Treated","Dunn",0.068,"r (|Z|/sqrt(N))",-0.2041,0.838256486385826,0.838256486385826,"ns"
"LWQ8","DB_Control - DB_Treated","DB_Control","Dunn",0.068,"r (|Z|/sqrt(N))",0.2041,0.838256486385826,0.838256486385826,"ns"
"Veillonella","DB_Control - DB_Treated","DB_Control","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,0.859411794142961,"ns"
"Veillonella","DB_Treated - WT_Control","DB_Treated","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,1,"ns"
"Rothia","DB_Control - DB_Treated","DB_Control","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,0.859411794142961,"ns"
"Rothia","DB_Treated - WT_Control","DB_Treated","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,1,"ns"
"Gemella","DB_Control - DB_Treated","DB_Control","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,0.859411794142961,"ns"
"Gemella","DB_Treated - WT_Control","DB_Treated","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,1,"ns"
"Campylobacter","DB_Control - DB_Treated","DB_Control","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,0.859411794142961,"ns"
"Campylobacter","DB_Treated - WT_Control","DB_Treated","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,1,"ns"
"Gordonia","DB_Control - DB_Treated","DB_Control","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,0.859411794142961,"ns"
"Gordonia","DB_Treated - WT_Control","DB_Treated","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,1,"ns"
"Aggregatibacter","DB_Control - DB_Treated","DB_Control","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,0.859411794142961,"ns"
"Aggregatibacter","DB_Treated - WT_Control","DB_Treated","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,1,"ns"
"Parvimonas","DB_Control - DB_Treated","DB_Control","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,0.859411794142961,"ns"
"Parvimonas","DB_Treated - WT_Control","DB_Treated","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,1,"ns"
"Haemophilus","DB_Control - DB_Treated","DB_Control","Dunn",0.0547,"r (|Z|/sqrt(N))",0.1641,0.869635112615166,0.869635112615166,"ns"
"Haemophilus","DB_Control - WT_Control","WT_Control","Dunn",0.0547,"r (|Z|/sqrt(N))",-0.1641,0.869635112615166,1,"ns"
"Porphyromonas","DB_Control - DB_Treated","DB_Control","Dunn",0.0547,"r (|Z|/sqrt(N))",0.1641,0.869635112615166,0.869635112615166,"ns"
"Porphyromonas","DB_Control - WT_Control","WT_Control","Dunn",0.0547,"r (|Z|/sqrt(N))",-0.1641,0.869635112615166,1,"ns"
"Dolosigranulum","DB_Control - DB_Treated","DB_Control","Dunn",0.0544,"r (|Z|/sqrt(N))",0.1633,0.870282772281036,0.870282772281036,"ns"
"Dolosigranulum","DB_Control - WT_Control","WT_Control","Dunn",0.0544,"r (|Z|/sqrt(N))",-0.1633,0.870282772281036,1,"ns"
"MB-A2-108","DB_Treated - WT_Control","DB_Treated","Dunn",0.0544,"r (|Z|/sqrt(N))",0.1633,0.870282772281036,0.870282772281036,"ns"
"Finegoldia","DB_Control - DB_Treated","DB_Control","Dunn",0.0544,"r (|Z|/sqrt(N))",0.1633,0.870282772281036,0.870282772281036,"ns"
"Finegoldia","DB_Control - WT_Control","WT_Control","Dunn",0.0544,"r (|Z|/sqrt(N))",-0.1633,0.870282772281036,1,"ns"
"Corynebacterium","DB_Control - DB_Treated","DB_Control","Dunn",0.0519,"r (|Z|/sqrt(N))",0.1557,0.876269663627761,0.876269663627761,"ns"
"Lawsonella","DB_Control - DB_Treated","DB_Control","Dunn",0.0519,"r (|Z|/sqrt(N))",0.1557,0.876269663627761,0.876269663627761,"ns"
"Paracoccus","DB_Control - DB_Treated","DB_Control","Dunn",0.0519,"r (|Z|/sqrt(N))",0.1557,0.876269663627761,0.876269663627761,"ns"
