NL,LP,LN,CA
2.05358341,0.961259157,0.759619294,0
0,0,1.349556463,0
0.728589662,0.522729226,0.545230203,0
0,0,0.67194292,0
1.004339633,1.523042513,0.877585833,0
0,0.528781907,1.034131167,0
0,0,0.55245738,1.337570927
0.724234513,0.631297991,0.721641959,0
1.329595688,0,0.790217847,0
0,0,0.67128733,0
0,0,0,0
0,0.713660192,0.775864951,0
0.693597485,0,0,0
0,0,0.28553992,0
0,1.093175331,0,1.234841972
1.419834286,1.04258757,0.578896006,0.539204917
0,1.157876857,0.966798944,0
1.335708864,0.855223265,0.760740844,0.865852281
1.258236239,0,0.49137245,0.680395659
0,0.726157288,0,0
0,0,0.524299373,0
0.8451702,0,1.114459837,0.417641636
1.438098876,0.933895473,0.845599884,1.241625618
0.735536999,0.76013417,0.567815853,0
0,0.785869952,0,1.211657286
0,1.430630851,0.624333886,0
0.563120307,0.84320462,0.646757062,0
0.91401678,0,0.72981224,0
0.793288288,0,0.992861568,1.249336067
0,0.684534841,0.245940409,0
1.204825145,1.073016504,0,0
0.894849953,1.13039375,0.830295214,0
0,0,0,1.241275699
0,0,0,0
0,0.494671268,0.347414401,0.638761994
0.600396875,0,0.872730372,0.409658622
0,1.142024782,0,1.024618799
1.333029666,0.548726769,0.497231972,0
0,0,0,1.292535158
0,0.486640311,0,1.121805688
0,1.191017046,1.020344619,0
0,1.422137539,0,1.453772176
0,1.425568756,1.122392382,0
0,1.006620237,1.31867793,0
0,1.345919245,0,0
0,0.54340818,0,0.963058089
0,0.97508452,0,0
0,0,1.093703164,0
1.022790403,0,0,0
0,0,1.080073044,0.961957882
1.11839674,0,0.687987415,0.815330248
0,0,1.306897048,0.67335224
1.078619463,1.173299517,1.0870149,1.652768078
0,0.683537645,0,0
0,0.958871796,1.076425855,1.382444249
0.907090489,0,0.979529032,0
0,0.616661851,1.197142376,1.174071073
0,1.372138112,1.109348657,1.002370319
1.073016504,0.793023177,0,0
0,0.613538443,0,0.849054089
0.848365951,1.307749332,0.950420756,0.945099372
0,0.886715375,0.405640185,1.037031274
1.227629001,0,1.038538082,0
0,1.072889904,0,0
1.506844513,0,0.906364448,1.086559189
0.986172993,0,1.321123685,1.435816389
