"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust"
"map05322","map05322","Systemic lupus erythematosus",45,10,0,0,0,-0.433690350573885,0.50494461180131,1.1559636645392,-0.811993483159665,0.2054,0.325705714285714
"map04972","map04972","Pancreatic secretion",69,7,0,0,0,-0.476316021587897,0.452134664904925,1.14790394556509,-0.808822628478522,0.2088,0.326433802816901
"map00572","map00572","Arabinogalactan biosynthesis - Mycobacterium",13,4,0,0,0,1.21667831342563,0.321905303293969,1.14062274554914,0.784460079919662,0.2242,0.333891964285714
"map04915","map04915","Estrogen signaling pathway",78,6,0,0,0,1.30224293972358,0.399315279919848,1.1577773969831,0.779880192994401,0.2198,0.333891964285714
"map05225","map05225","Hepatocellular carcinoma",116,4,1,0,1,-0.582291778180852,0.324454647392411,1.16276241838593,-0.779820891383772,0.2222,0.333891964285714
"map04713","map04713","Circadian entrainment",79,3,0,0,0,-0.587569651393003,0.304068066940989,1.15081245331932,-0.774789772010391,0.221,0.333891964285714
"map04624","map04624","Toll and Imd signaling pathway",57,3,0,0,0,-0.587569651393003,0.283395442055136,1.14180019938604,-0.762799913607009,0.2196,0.333891964285714
"map04630","map04630","JAK-STAT signaling pathway",143,3,0,0,0,-0.587569651393003,0.283914279179298,1.1478841077279,-0.759208986957139,0.2218,0.333891964285714
"map05210","map05210","Colorectal cancer",72,4,0,0,0,-0.557250853171893,0.326455773957814,1.16468261864488,-0.758753168445076,0.2226,0.333891964285714
"map04550","map04550","Signaling pathways regulating pluripotency of stem cells",114,3,0,0,0,-0.587569651393003,0.284479102358494,1.14951953511287,-0.758620212283623,0.2274,0.335053744493392
"map04662","map04662","B cell receptor signaling pathway",60,3,0,0,0,-0.587569651393003,0.276548566198555,1.14092914364251,-0.75738114185846,0.2196,0.333891964285714
"map00270","map00270","Cysteine and methionine metabolism",127,56,5,4,1,2.0835809357479,1.20847685039193,1.15733196107394,0.756139219160527,0.217,0.333891964285714
"map03083","map03083","Polycomb repressive complex",65,3,0,0,0,-0.587569651393003,0.283339478418179,1.15739230859174,-0.752475304480692,0.2238,0.333891964285714
"map00401","map00401","Novobiocin biosynthesis",30,7,1,1,0,1.30616246749304,0.438935507313338,1.16053237531863,0.747266494777107,0.2246,0.333891964285714
"map04139","map04139","Mitophagy - yeast",34,3,0,0,0,-0.587569651393003,0.27845088538694,1.16600642196785,-0.742723642395021,0.2284,0.335053744493392
"map00543","map00543","Exopolysaccharide biosynthesis",73,6,0,0,0,1.25161355613857,0.399873075976851,1.15031295940258,0.740442392828533,0.2354,0.336984615384615
"map04370","map04370","VEGF signaling pathway",39,3,0,0,0,-0.587569651393003,0.273226401800606,1.1645151397387,-0.739188374473824,0.232,0.336984615384615
"map03040","map03040","Spliceosome",123,7,0,0,0,-0.4111825345349,0.438127206922071,1.15683281833747,-0.7341680906646,0.2282,0.335053744493392
"map00633","map00633","Nitrotoluene degradation",23,8,0,0,0,1.27068317570684,0.421706739887415,1.16324401040336,0.729835209316946,0.2412,0.339079668049793
"map04658","map04658","Th1 and Th2 cell differentiation",67,3,0,0,0,-0.587569651393003,0.249347482192346,1.15750831650753,-0.723033365419372,0.2336,0.336984615384615
"map00074","map00074","Mycolic acid biosynthesis",35,5,0,0,0,1.24188636907428,0.393190138457287,1.17497915430836,0.722307478822093,0.2368,0.336984615384615
"map05230","map05230","Central carbon metabolism in cancer",49,11,3,1,2,-0.259582576963214,0.564680891305712,1.14292644371167,-0.721186803231287,0.2304,0.336505263157895
"map04725","map04725","Cholinergic synapse",90,3,0,0,0,-0.587569651393003,0.252181391794171,1.1657793654222,-0.720334454438598,0.244,0.339079668049793
"map04650","map04650","Natural killer cell mediated cytotoxicity",94,5,0,0,0,-0.470823615430758,0.360583105254221,1.15549505450301,-0.719524257109501,0.2354,0.336984615384615
"map00907","map00907","Pinene, camphor and geraniol degradation",25,5,0,0,0,1.16113607665901,0.342505488203777,1.16023162765926,0.70557513598108,0.2448,0.339079668049793
"map05203","map05203","Viral carcinogenesis",174,14,4,4,0,1.43488646137502,0.614199369512354,1.16459617090987,0.704696711497413,0.242,0.339079668049793
"map04975","map04975","Fat digestion and absorption",28,3,0,0,0,-0.519612040077435,0.274251504821367,1.13816772382821,-0.697492582401348,0.2388,0.338384680851064
"map00710","map00710","Carbon fixation by Calvin cycle",36,20,5,2,3,-0.0855228504395637,0.717457884741094,1.16302311946111,-0.690425428131406,0.2432,0.339079668049793
"map05150","map05150","Staphylococcus aureus infection",74,12,1,1,0,-0.238870474495657,0.549164241124049,1.1493031552142,-0.685663057692412,0.2368,0.336984615384615
"map04750","map04750","Inflammatory mediator regulation of TRP channels",68,4,0,0,0,-0.444827377606444,0.328923967322983,1.14033977601148,-0.678527015549474,0.2454,0.339079668049793
"map00998","map00998","Biosynthesis of various antibiotics",74,4,1,1,0,1.08006475397155,0.304279483866751,1.15443344519428,0.672005192966529,0.2582,0.350941224489796
"map01250","map01250","Biosynthesis of nucleotide sugars",211,72,7,5,2,2.11870761766026,1.34767477326277,1.14797947434501,0.671643406200635,0.2486,0.342081818181818
"map00625","map00625","Chloroalkane and chloroalkene degradation",43,11,0,0,0,1.31353246422364,0.539633633020505,1.15777663962084,0.668435348165758,0.2514,0.343918032786885
"map04914","map04914","Progesterone-mediated oocyte maturation",65,3,0,0,0,-0.45713845856847,0.30506036130279,1.1501714338964,-0.66268279441542,0.252,0.343918032786885
"map00250","map00250","Alanine, aspartate and glutamate metabolism",70,41,9,7,2,1.70470927873277,1.00024216301633,1.1407563497068,0.617543891732455,0.2704,0.366029268292683
"map04727","map04727","GABAergic synapse",69,6,2,2,0,1.08756524238233,0.374042991027076,1.16288594858496,0.613578874371548,0.2748,0.368038554216867
