"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032956","BP","GO:0032956","regulation of actin cytoskeleton organization","12/117","365/18903",2.78626140863799e-06,0.000569410513328928,0.000465798916831634,"CORO1A/COTL1/GSN/STMN1/ARHGDIB/ARPC3/ARPC1B/ACTG1/CAPG/ARPC2/TWF2/CAPZB",12
"GO:0010952","BP","GO:0010952","positive regulation of peptidase activity","9/117","194/18903",3.33637938651041e-06,0.000625015071739617,0.000511285507739797,"PSME2/GSN/HMGB1/HSPD1/LGALS9/CTSH/PSME1/PRELID1/ANP32B",9
"GO:0019882","BP","GO:0019882","antigen processing and presentation","7/117","108/18903",4.83499323936692e-06,0.000836081907853603,0.000683946007220568,"PSMB8/CTSH/CD1A/PSME1/HLA-DQB1/CD1C/TAP1",7
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity","13/117","463/18903",5.90406118393662e-06,0.000948023538677824,0.000775518412656939,"C1QBP/IGHA2/CORO1A/TUBB/HMGB1/HSPD1/LGALS9/VAMP8/CTSH/CD1A/HLA-DQB1/CD1C/CD300A",13
"GO:0042273","BP","GO:0042273","ribosomal large subunit biogenesis","6/117","76/18903",7.59052402956622e-06,0.00113756653456432,0.000930571612607172,"NPM1/RPL5/NHP2/RPL14/RPL7A/RPL10A",6
"GO:0032970","BP","GO:0032970","regulation of actin filament-based process","12/117","406/18903",8.23869960047342e-06,0.00115753729386652,0.000946908434343886,"CORO1A/COTL1/GSN/STMN1/ARHGDIB/ARPC3/ARPC1B/ACTG1/CAPG/ARPC2/TWF2/CAPZB",12
"GO:0043254","BP","GO:0043254","regulation of protein-containing complex assembly","12/117","410/18903",9.09226791185478e-06,0.00120231872152056,0.000983541302910854,"CORO1A/COTL1/GSN/STMN1/ARPC3/ARPC1B/HMGB1/PARK7/CAPG/ARPC2/TWF2/CAPZB",12
"GO:0051258","BP","GO:0051258","protein polymerization","10/117","281/18903",9.88837438817578e-06,0.00123494809025662,0.00101023333661656,"CORO1A/COTL1/GSN/STMN1/ARPC3/ARPC1B/CAPG/ARPC2/TWF2/CAPZB",10
"GO:0019884","BP","GO:0019884","antigen processing and presentation of exogenous antigen","5/117","49/18903",1.27884528992404e-05,0.00151307590092066,0.00123775220027551,"CD1A/PSME1/HLA-DQB1/CD1C/TAP1",5
"GO:0052548","BP","GO:0052548","regulation of endopeptidase activity","12/117","428/18903",1.39689218434908e-05,0.00157010681520836,0.00128440560318834,"PSME2/GSN/PSMB8/HMGB1/PSMB9/PARK7/HSPD1/LGALS9/CTSH/PSME1/PRELID1/ANP32B",12
"GO:0010639","BP","GO:0010639","negative regulation of organelle organization","11/117","366/18903",1.71357235683792e-05,0.00171767969769764,0.00140512569389295,"CORO1A/SLC25A5/GSN/STMN1/NPM1/GDI2/CAPG/HNRNPA1/TWF2/PRELID1/CAPZB",11
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity","11/117","367/18903",1.75741250209278e-05,0.00171767969769764,0.00140512569389295,"C1QBP/IGHA2/CORO1A/TUBB/HMGB1/HSPD1/LGALS9/CTSH/CD1A/HLA-DQB1/CD1C",11
"GO:0032535","BP","GO:0032535","regulation of cellular component size","11/117","367/18903",1.75741250209278e-05,0.00171767969769764,0.00140512569389295,"SPP1/CORO1A/COTL1/GSN/NPM1/ARPC3/ARPC1B/CAPG/ARPC2/TWF2/CAPZB",11
"GO:0051016","BP","GO:0051016","barbed-end actin filament capping","4/117","26/18903",1.87571555362849e-05,0.00175692023523202,0.00143722590885481,"GSN/CAPG/TWF2/CAPZB",4
"GO:0044403","BP","GO:0044403","biological process involved in symbiotic interaction","10/117","307/18903",2.12417083840417e-05,0.00191005441789303,0.00156249534934403,"RPSA/GSN/HMGB1/PPIA/HSPD1/LGALS9/VAMP8/AXL/CFL1/PPIB",10
"GO:0042254","BP","GO:0042254","ribosome biogenesis","10/117","310/18903",2.3084908610423e-05,0.00199595671370119,0.001632766613053,"C1QBP/RPSA/NPM1/RPL5/RAN/NHP2/RPL14/PA2G4/RPL7A/RPL10A",10
"GO:0007015","BP","GO:0007015","actin filament organization","12/117","454/18903",2.50042643500699e-05,0.00208183652810952,0.00170301948614316,"CORO1A/COTL1/GSN/STMN1/ARPC3/ARPC1B/ACTG1/CFL1/CAPG/ARPC2/TWF2/CAPZB",12
"GO:0043388","BP","GO:0043388","positive regulation of DNA binding","5/117","57/18903",2.69953143952305e-05,0.00215755919112173,0.00176496343270728,"HMGB1/NME1/PARK7/HMGB2/CALM2",5
"GO:0052547","BP","GO:0052547","regulation of peptidase activity","12/117","459/18903",2.78332813801291e-05,0.00215755919112173,0.00176496343270728,"PSME2/GSN/PSMB8/HMGB1/PSMB9/PARK7/HSPD1/LGALS9/CTSH/PSME1/PRELID1/ANP32B",12
"GO:0030042","BP","GO:0030042","actin filament depolymerization","5/117","59/18903",3.19610622609169e-05,0.00231769251492068,0.00189595843021466,"GSN/CFL1/CAPG/TWF2/CAPZB",5
"GO:0045010","BP","GO:0045010","actin nucleation","5/117","59/18903",3.19610622609169e-05,0.00231769251492068,0.00189595843021466,"CORO1A/GSN/ARPC3/ARPC1B/ARPC2",5
"GO:0031333","BP","GO:0031333","negative regulation of protein-containing complex assembly","7/117","146/18903",3.46578729843369e-05,0.00243471557714967,0.00199168763498805,"GSN/STMN1/HMGB1/PARK7/CAPG/TWF2/CAPZB",7
"GO:0032615","BP","GO:0032615","interleukin-12 production","5/117","63/18903",4.39975589572744e-05,0.00290901507458685,0.00237968221357147,"C1QBP/LTB/HMGB1/HSPD1/LGALS9",5
"GO:0032655","BP","GO:0032655","regulation of interleukin-12 production","5/117","63/18903",4.39975589572744e-05,0.00290901507458685,0.00237968221357147,"C1QBP/LTB/HMGB1/HSPD1/LGALS9",5
"GO:0022411","BP","GO:0022411","cellular component disassembly","12/117","483/18903",4.56476887353415e-05,0.00293188583648708,0.0023983913449817,"SLC25A5/GSN/STMN1/PARK7/MMP12/VAMP8/CFL1/CAPG/PHB2/TWF2/CAPZB/VDAC1",12
"GO:0016032","BP","GO:0016032","viral process","11/117","421/18903",6.13669144274375e-05,0.00372192135404202,0.00304466969728012,"RPSA/GSN/RAN/HMGB1/PPIA/LGALS9/VAMP8/AXL/CFL1/PPIB/BANF1",11
"GO:1902600","BP","GO:1902600","proton transmembrane transport","7/117","160/18903",6.20774813278787e-05,0.00372192135404202,0.00304466969728012,"SLC25A5/COX5A/SLC25A3/UCP2/PARK7/CYC1/PHB2",7
"GO:1903599","BP","GO:1903599","positive regulation of autophagy of mitochondrion","3/117","13/18903",6.31708120558932e-05,0.00372192135404202,0.00304466969728012,"SLC25A5/PARK7/VDAC1",3
"GO:0002181","BP","GO:0002181","cytoplasmic translation","7/117","161/18903",6.45706996475262e-05,0.00372192135404202,0.00304466969728012,"RPSA/RPL5/RPL4/RPL14/RPL7A/EIF3K/RPL10A",7
